Шифра општине,,Број бирачког места,adress,Број примљених гласачких листића,Број неупотребљених гласачких листића,Број бирача уписаних у бирачки списак,Број бирача који су изашли на изборе,Број бирача који су гласали,Број неважећих гласачких листића,Број важећих гласачких листића,Томислав Николић ,Борис Тадић
33001,Аустралија,1,,128,68,128,60,60,0,60,15,45
33002,Аустрија,1,,645,239,641,406,406,6,400,128,272
33002,Аустрија,2,,208,114,208,94,94,0,94,39,55
33002,Аустрија,3,,108,79,107,29,29,1,28,10,18
,Аустрија,,,961,432,956,529,529,7,522,177,345
33003,Белгија,1,,112,40,112,72,72,2,70,6,64
33004,Велика Британија,1,,311,129,311,182,182,1,181,24,157
33005,Грчка,1,,125,70,125,55,55,0,55,7,48
33006,Италија,1,,209,124,208,85,85,2,83,8,75
33006,Италија,2,,144,62,143,82,82,0,82,12,70
33006,Италија,3,,182,109,181,73,73,0,73,19,54
,Италија,,,535,295,532,240,240,2,238,39,199
33007,Канада,1,,266,156,264,110,110,0,110,28,82
33008,Кипар,1,,126,83,126,43,43,1,42,5,37
33009,Либија,1,,133,54,132,79,79,1,78,28,50
33011,Руска Федерација,1,,796,586,790,210,210,3,207,55,152
33012,Савезна Република Немачка,1,,240,84,238,156,156,0,156,54,102
33012,Савезна Република Немачка,2,,287,101,285,186,186,2,184,83,101
33012,Савезна Република Немачка,3,,227,76,227,151,151,0,151,55,96
33012,Савезна Република Немачка,4,,358,126,356,232,232,1,231,62,169
33012,Савезна Република Немачка,5,,154,75,153,79,79,0,79,27,52
33012,Савезна Република Немачка,6,,404,109,401,295,295,0,295,121,174
,Савезна Република Немачка,,,1670,571,1660,1099,1099,3,1096,402,694
33013,Сједињене Америчке Државе,1,,138,54,137,84,84,0,84,5,79
33013,Сједињене Америчке Државе,2,,187,116,186,71,71,0,71,7,64
33013,Сједињене Америчке Државе,3,,130,56,129,74,74,2,72,5,67
,Сједињене Америчке Државе,,,455,226,452,229,229,2,227,17,210
33014,Словачка,1,,118,68,50,50,50,0,50,10,40
33015,Француска,1,,644,224,640,420,420,5,415,147,268
33015,Француска,2,,479,163,475,316,316,4,312,131,181
33015,Француска,3,,106,58,105,48,48,0,48,25,23
33015,Француска,4,,123,59,123,64,64,1,63,19,44
,Француска,,,1352,504,1343,848,848,10,838,322,516
33016,Холандија,1,,118,46,117,72,72,0,72,24,48
33017,Чешка Република,1,,124,42,123,82,82,1,81,2,79
33018,Швајцарска,1,,236,98,234,138,138,3,135,63,72
33018,Швајцарска,2,,370,139,367,231,231,1,230,71,159
33018,Швајцарска,3,,156,61,155,95,95,0,95,36,59
,Швајцарска,,,762,298,756,464,464,4,460,170,290
55001,Заводи за извршењезаводских санкција,1,,923,328,923,595,595,7,588,430,158
55001,Заводи за извршењезаводских санкција,2,,932,411,932,521,521,9,512,354,158
55001,Заводи за извршењезаводских санкција,3,,1086,285,1086,801,801,19,782,571,211
55001,Заводи за извршењезаводских санкција,4,,608,196,608,412,412,31,381,297,84
55001,Заводи за извршењезаводских санкција,5,,363,168,363,195,195,4,191,129,62
55001,Заводи за извршењезаводских санкција,6,,251,76,251,175,175,2,173,140,33
55001,Заводи за извршењезаводских санкција,7,,170,61,171,109,109,4,105,71,34
55001,Заводи за извршењезаводских санкција,8,,169,54,169,115,115,3,112,74,38
55001,Заводи за извршењезаводских санкција,9,,151,39,151,112,112,2,110,42,68
55001,Заводи за извршењезаводских санкција,10,,125,20,125,105,105,1,104,85,19
55001,Заводи за извршењезаводских санкција,11,,142,48,142,94,94,4,90,59,31
55001,Заводи за извршењезаводских санкција,12,,116,33,116,83,83,1,82,62,20
55001,Заводи за извршењезаводских санкција,14,,106,29,106,77,77,1,76,57,19
55001,Заводи за извршењезаводских санкција,15,,109,29,109,80,80,2,78,43,35
55001,Заводи за извршењезаводских санкција,16,,108,22,108,86,86,5,81,57,24
,Заводи за извршењезаводских санкција,,,5359,1799,5360,3560,3560,95,3465,2471,994
70017,Александровац,1,,249,100,249,149,149,7,142,64,78
70017,Александровац,2,,154,87,154,67,67,2,65,57,8
70017,Александровац,3,,261,173,261,88,88,1,87,58,29
70017,Александровац,4,,438,296,439,142,142,1,141,126,15
70017,Александровац,5,,184,92,184,92,92,2,90,54,36
70017,Александровац,6,,303,174,303,129,129,2,127,99,28
70017,Александровац,7,,332,198,332,134,134,1,133,58,75
70017,Александровац,8,,154,83,154,71,71,0,71,42,29
70017,Александровац,9,,128,72,128,56,56,6,50,15,35
70017,Александровац,10,,231,84,231,147,147,0,147,61,86
70017,Александровац,11,,136,90,136,46,46,2,44,20,24
70017,Александровац,12,,368,244,368,124,124,2,122,58,64
70017,Александровац,13,,154,83,154,71,71,1,70,37,33
70017,Александровац,14,,448,229,448,219,219,9,210,104,106
70017,Александровац,15,,283,140,283,143,143,6,137,88,49
70017,Александровац,16,,175,87,175,88,88,2,86,44,42
70017,Александровац,17,,145,65,145,80,80,0,80,42,38
70017,Александровац,18,,242,137,242,105,105,3,102,58,44
70017,Александровац,19,,491,229,491,262,262,8,254,120,134
70017,Александровац,20,,347,185,347,162,162,3,159,109,50
70017,Александровац,21,,333,182,333,151,151,2,149,66,83
70017,Александровац,22,,315,180,315,135,135,2,133,62,71
70017,Александровац,23,,338,171,338,167,167,4,163,82,81
70017,Александровац,24,,299,151,299,148,148,5,143,77,66
70017,Александровац,25,,281,107,281,174,174,11,163,57,106
70017,Александровац,26,,227,109,227,118,118,3,115,38,77
70017,Александровац,27,,267,112,267,155,155,4,151,99,52
70017,Александровац,28,,315,162,315,153,153,5,148,77,71
70017,Александровац,29,,230,85,231,145,145,5,140,84,56
70017,Александровац,30,,396,223,396,173,173,4,169,98,71
70017,Александровац,31,,246,93,246,153,153,4,149,86,63
70017,Александровац,32,,611,305,611,306,306,6,300,156,144
70017,Александровац,33,,404,208,404,196,196,3,193,109,84
70017,Александровац,34,,248,117,248,131,131,0,131,64,67
70017,Александровац,35,,591,290,591,301,301,11,290,149,141
70017,Александровац,36,,330,109,330,221,221,5,216,98,118
70017,Александровац,37,,920,574,920,346,346,5,341,175,166
70017,Александровац,38,,560,216,560,344,344,2,342,180,162
70017,Александровац,39,,441,251,441,190,190,2,188,122,66
70017,Александровац,40,,252,140,252,112,112,1,111,56,55
70017,Александровац,41,,712,398,712,314,314,4,310,178,132
70017,Александровац,42,,429,220,429,209,209,7,202,85,117
70017,Александровац,43,,175,97,175,78,78,2,76,40,36
70017,Александровац,44,,280,119,280,161,161,1,160,28,132
70017,Александровац,45,,339,227,340,112,112,2,110,46,64
70017,Александровац,46,,113,74,113,39,39,2,37,14,23
70017,Александровац,47,,197,94,197,103,103,6,97,40,57
70017,Александровац,48,,444,283,444,161,161,1,160,80,80
70017,Александровац,49,,198,122,198,76,76,0,76,26,50
70017,Александровац,50,,706,460,706,246,246,6,240,121,119
70017,Александровац,51,,178,91,178,87,87,1,86,51,35
70017,Александровац,52,,739,510,739,229,229,4,225,122,103
70017,Александровац,53,,881,443,883,438,438,12,426,187,239
70017,Александровац,54,,952,483,952,469,469,10,459,186,273
70017,Александровац,55,,1194,672,1197,522,522,8,514,221,293
70017,Александровац,56,,1238,702,1238,536,536,13,523,215,308
70017,Александровац,57,,259,120,259,139,139,7,132,41,91
70017,Александровац,58,,612,429,613,183,183,4,179,129,50
70017,Александровац,59,,564,298,564,266,266,7,259,116,143
70017,Александровац,60,,1981,1274,1984,707,707,21,686,298,388
,Александровац,,,25018,13749,25030,11269,11269,260,11009,5473,5536
70025,Алексинац,1,,296,149,296,147,147,0,147,115,32
70025,Алексинац,2,,420,293,420,127,127,3,124,60,64
70025,Алексинац,3,,216,43,216,173,173,0,173,93,80
70025,Алексинац,4,,295,143,295,152,152,0,152,116,36
70025,Алексинац,5,,537,368,537,169,169,2,167,83,84
70025,Алексинац,6,,210,128,210,82,82,0,82,57,25
70025,Алексинац,7,,659,412,659,247,247,6,241,147,94
70025,Алексинац,8,,101,47,101,54,54,1,53,52,1
70025,Алексинац,9,,185,95,185,90,90,1,89,68,21
70025,Алексинац,10,,188,88,188,100,100,2,98,55,43
70025,Алексинац,11,,486,315,486,171,171,3,168,131,37
70025,Алексинац,12,,303,196,303,107,107,2,105,70,35
70025,Алексинац,13,,1168,759,1172,409,409,3,406,274,132
70025,Алексинац,14,,638,375,639,263,263,3,260,185,75
70025,Алексинац,15,,125,49,125,76,76,0,76,60,16
70025,Алексинац,16,,889,544,889,345,345,12,333,194,139
70025,Алексинац,17,,981,509,981,472,472,8,464,347,117
70025,Алексинац,18,,270,134,270,136,136,3,133,87,46
70025,Алексинац,19,,272,121,272,151,151,4,147,124,23
70025,Алексинац,20,,644,354,644,290,290,4,286,144,142
70025,Алексинац,21,,786,438,786,348,348,3,345,182,163
70025,Алексинац,22,,960,530,960,430,430,5,425,309,116
70025,Алексинац,23,,746,418,746,328,328,4,324,237,87
70025,Алексинац,24,,755,465,755,290,290,6,284,226,58
70025,Алексинац,25,,163,102,163,61,61,1,60,51,9
70025,Алексинац,26,,589,364,589,225,224,2,222,155,67
70025,Алексинац,27,,689,449,689,240,240,4,236,157,79
70025,Алексинац,28,,168,93,168,75,75,0,75,45,30
70025,Алексинац,29,,735,419,735,316,316,9,307,204,103
70025,Алексинац,30,,617,386,617,231,231,4,227,153,74
70025,Алексинац,31,,130,58,130,72,72,1,71,58,13
70025,Алексинац,32,,552,321,552,231,231,2,229,152,77
70025,Алексинац,33,,372,195,372,177,177,4,173,139,34
70025,Алексинац,34,,293,131,293,162,162,4,158,107,51
70025,Алексинац,35,,195,104,195,91,91,1,90,49,41
70025,Алексинац,36,,124,61,124,63,63,0,63,41,22
70025,Алексинац,37,,366,201,366,165,165,14,151,102,49
70025,Алексинац,38,,100,53,100,47,47,0,47,27,20
70025,Алексинац,39,,167,101,167,66,66,0,66,45,21
70025,Алексинац,40,,103,52,103,51,51,4,47,29,18
70025,Алексинац,41,,177,66,177,111,111,2,109,67,42
70025,Алексинац,42,,322,196,322,126,126,0,126,63,63
70025,Алексинац,43,,577,422,573,155,155,3,152,110,42
70025,Алексинац,44,,145,61,145,84,84,1,83,65,18
70025,Алексинац,45,,714,507,714,207,207,0,207,106,101
70025,Алексинац,46,,659,502,659,157,157,2,155,82,73
70025,Алексинац,47,,846,526,846,320,320,11,309,236,73
70025,Алексинац,48,,454,265,464,189,189,2,187,146,41
70025,Алексинац,49,,168,106,168,62,62,1,61,28,33
70025,Алексинац,50,,145,55,145,90,90,2,88,58,30
70025,Алексинац,51,,395,245,395,150,150,1,149,89,60
70025,Алексинац,52,,283,180,283,103,102,2,100,85,15
70025,Алексинац,53,,920,654,920,266,266,4,262,171,91
70025,Алексинац,54,,882,548,882,334,334,0,334,230,104
70025,Алексинац,55,,193,100,193,93,93,0,93,60,33
70025,Алексинац,56,,1197,551,1197,646,646,12,634,396,238
70025,Алексинац,57,,951,543,958,408,408,3,405,194,211
70025,Алексинац,58,,824,356,827,468,468,11,457,197,260
70025,Алексинац,59,,768,419,768,349,349,7,342,189,153
70025,Алексинац,60,,686,345,686,341,340,7,333,195,138
70025,Алексинац,61,,863,398,863,465,465,12,453,205,248
70025,Алексинац,62,,947,431,947,516,516,9,507,297,210
70025,Алексинац,63,,845,371,845,474,474,16,458,201,257
70025,Алексинац,64,,680,348,680,332,332,7,325,172,153
70025,Алексинац,65,,770,381,770,389,389,4,385,178,207
70025,Алексинац,66,,766,387,766,379,379,13,366,164,202
70025,Алексинац,67,,795,406,795,389,389,5,384,183,201
70025,Алексинац,68,,829,413,829,416,416,8,408,208,200
70025,Алексинац,69,,1016,561,1017,455,455,10,445,258,187
70025,Алексинац,70,,1018,475,1018,543,543,7,536,294,242
70025,Алексинац,71,,930,450,930,480,480,7,473,254,219
70025,Алексинац,72,,795,369,795,426,426,9,417,244,173
70025,Алексинац,73,,619,409,619,210,210,0,210,133,77
70025,Алексинац,74,,964,423,963,541,541,17,524,277,247
70025,Алексинац,75,,747,394,747,353,353,4,349,264,85
70025,Алексинац,76,,452,239,452,213,213,4,209,163,46
70025,Алексинац,77,,677,310,676,367,367,3,364,280,84
70025,Алексинац,78,,458,215,458,243,243,3,240,161,79
70025,Алексинац,79,,453,287,453,166,166,6,160,104,56
70025,Алексинац,80,,308,188,308,120,120,1,119,91,28
70025,Алексинац,81,,322,189,322,133,133,3,130,93,37
70025,Алексинац,82,,192,120,200,72,72,2,70,53,17
70025,Алексинац,83,,133,84,133,49,49,1,48,41,7
70025,Алексинац,84,,244,46,244,198,198,1,197,188,9
70025,Алексинац,85,,801,453,780,348,348,6,342,229,113
70025,Алексинац,86,,279,164,279,115,115,3,112,87,25
70025,Алексинац,87,,219,60,219,159,159,2,157,109,48
70025,Алексинац,88,,415,199,415,216,216,0,216,161,55
70025,Алексинац,89,,132,68,132,64,64,1,63,53,10
70025,Алексинац,90,,317,175,317,142,142,0,142,105,37
70025,Алексинац,91,,296,179,296,117,117,2,115,102,13
,Алексинац,,,47081,25902,47088,21179,21176,362,20814,13049,7765
70033,Аранђеловац,1,,1568,731,1569,837,837,15,822,481,341
70033,Аранђеловац,2,,1327,615,1328,712,710,11,699,329,370
70033,Аранђеловац,3,,2085,1081,2085,1004,1004,11,993,423,570
70033,Аранђеловац,4,,1415,663,1416,752,752,10,742,299,443
70033,Аранђеловац,5,,1002,468,1002,534,534,4,530,227,303
70033,Аранђеловац,6,,403,179,403,224,224,2,222,94,128
70033,Аранђеловац,7,,1636,826,1637,810,810,6,804,349,455
70033,Аранђеловац,8,,1446,642,1446,804,804,15,789,340,449
70033,Аранђеловац,9,,1646,750,1647,896,896,13,883,369,514
70033,Аранђеловац,10,,1930,952,1931,978,978,17,961,516,445
70033,Аранђеловац,11,,887,438,887,449,448,3,445,207,238
70033,Аранђеловац,12,,1296,655,1298,641,641,9,632,267,365
70033,Аранђеловац,13,,1828,917,1828,911,911,15,896,465,431
70033,Аранђеловац,14,,812,339,812,473,473,10,463,179,284
70033,Аранђеловац,15,,1371,807,1371,564,564,10,554,329,225
70033,Аранђеловац,16,,1492,829,1492,663,663,5,658,372,286
70033,Аранђеловац,17,,1397,761,1397,636,636,7,629,343,286
70033,Аранђеловац,18,,809,505,809,304,304,2,302,179,123
70033,Аранђеловац,19,,866,507,866,359,359,7,352,208,144
70033,Аранђеловац,20,,494,276,494,218,218,0,218,123,95
70033,Аранђеловац,21,,647,379,647,268,268,4,264,160,104
70033,Аранђеловац,22,,1032,616,1032,416,416,5,411,252,159
70033,Аранђеловац,23,,1091,668,1092,423,423,6,417,244,173
70033,Аранђеловац,24,,640,337,640,303,303,6,297,124,173
70033,Аранђеловац,25,,478,296,478,182,181,1,180,89,91
70033,Аранђеловац,26,,323,184,323,139,139,7,132,60,72
70033,Аранђеловац,27,,466,275,466,191,191,4,187,101,86
70033,Аранђеловац,28,,484,300,484,184,184,3,181,82,99
70033,Аранђеловац,29,,373,218,373,155,155,2,153,103,50
70033,Аранђеловац,30,,738,478,739,260,260,1,259,149,110
70033,Аранђеловац,31,,585,384,585,201,201,9,192,111,81
70033,Аранђеловац,32,,666,307,666,359,359,8,351,177,174
70033,Аранђеловац,33,,487,249,486,238,238,2,236,165,71
70033,Аранђеловац,34,,384,186,384,198,198,4,194,85,109
70033,Аранђеловац,35,,377,135,377,242,242,6,236,121,115
70033,Аранђеловац,36,,179,103,179,76,76,0,76,49,27
70033,Аранђеловац,37,,247,89,247,158,158,2,156,110,46
70033,Аранђеловац,38,,697,470,697,227,227,1,226,146,80
70033,Аранђеловац,39,,617,388,617,229,229,2,227,169,58
70033,Аранђеловац,40,,905,484,905,421,421,11,410,233,177
70033,Аранђеловац,41,,450,292,450,158,158,1,157,88,69
70033,Аранђеловац,42,,662,397,663,265,265,1,264,148,116
70033,Аранђеловац,43,,527,330,527,197,197,2,195,109,86
,Аранђеловац,,,38765,20506,38775,18259,18255,260,17995,9174,8821
70041,Ариље,1,,824,374,824,450,450,6,444,175,269
70041,Ариље,2,,646,266,646,380,380,8,372,117,255
70041,Ариље,3,,609,324,609,285,285,11,274,113,161
70041,Ариље,4,,413,209,413,204,204,3,201,98,103
70041,Ариље,5,,522,249,522,273,273,4,269,127,142
70041,Ариље,6,,560,337,563,223,223,4,219,102,117
70041,Ариље,7,,574,304,574,270,270,4,266,132,134
70041,Ариље,8,,440,248,440,192,192,4,188,100,88
70041,Ариље,9,,496,270,496,226,226,1,225,99,126
70041,Ариље,10,,439,226,439,213,213,3,210,111,99
70041,Ариље,11,,121,57,121,64,64,0,64,29,35
70041,Ариље,12,,541,315,541,226,226,2,224,105,119
70041,Ариље,13,,486,253,486,233,233,5,228,111,117
70041,Ариље,14,,475,238,475,237,237,7,230,126,104
70041,Ариље,15,,403,266,403,137,137,1,136,89,47
70041,Ариље,16,,646,369,646,277,277,5,272,129,143
70041,Ариље,17,,677,305,677,372,372,2,370,140,230
70041,Ариље,18,,561,260,561,301,301,3,298,122,176
70041,Ариље,19,,305,155,305,150,150,3,147,85,62
70041,Ариље,20,,243,134,243,109,109,2,107,49,58
70041,Ариље,21,,414,246,414,168,168,3,165,97,68
70041,Ариље,22,,248,158,248,90,90,3,87,57,30
70041,Ариље,23,,385,207,385,178,178,2,176,112,64
70041,Ариље,24,,296,168,296,128,128,3,125,58,67
70041,Ариље,25,,654,430,654,224,224,5,219,101,118
70041,Ариље,26,,723,355,723,368,368,12,356,146,210
70041,Ариље,27,,311,172,311,139,139,1,138,60,78
70041,Ариље,28,,298,157,298,141,141,0,141,89,52
70041,Ариље,29,,248,122,248,126,126,1,125,65,60
70041,Ариље,30,,403,219,403,184,184,3,181,84,97
70041,Ариље,31,,338,184,338,154,154,3,151,73,78
70041,Ариље,32,,398,256,398,142,142,0,142,87,55
70041,Ариље,33,,334,206,334,128,128,0,128,71,57
70041,Ариље,34,,492,247,492,245,245,1,244,103,141
70041,Ариље,35,,415,210,415,205,205,12,193,88,105
,Ариље,,,15938,8496,15941,7442,7442,127,7315,3450,3865
70050,Бабушница,1,,582,309,582,273,273,8,265,138,127
70050,Бабушница,2,,525,270,525,255,255,3,252,136,116
70050,Бабушница,3,,463,244,463,219,219,1,218,121,97
70050,Бабушница,4,,516,312,515,204,204,1,203,116,87
70050,Бабушница,5,,507,296,507,211,211,1,210,104,106
70050,Бабушница,6,,482,258,482,224,224,1,223,125,98
70050,Бабушница,7,,432,249,432,183,183,5,178,122,56
70050,Бабушница,8,,456,278,456,178,178,6,172,124,48
70050,Бабушница,9,,418,219,418,199,199,6,193,115,78
70050,Бабушница,10,,181,105,181,76,76,3,73,61,12
70050,Бабушница,11,,229,136,229,93,93,2,91,62,29
70050,Бабушница,12,,153,110,153,43,43,0,43,36,7
70050,Бабушница,13,,101,48,101,53,53,1,52,39,13
70050,Бабушница,14,,236,101,236,135,135,5,130,77,53
70050,Бабушница,15,,157,124,157,33,33,0,33,27,6
70050,Бабушница,16,,246,132,246,114,114,1,113,100,13
70050,Бабушница,17,,134,56,134,78,78,0,78,61,17
70050,Бабушница,18,,135,57,135,78,78,0,78,67,11
70050,Бабушница,19,,101,29,101,72,72,0,72,61,11
70050,Бабушница,20,,100,68,100,32,32,0,32,25,7
70050,Бабушница,21,,312,158,312,154,154,5,149,57,92
70050,Бабушница,22,,269,102,269,167,167,1,166,129,37
70050,Бабушница,23,,154,72,154,82,82,2,80,68,12
70050,Бабушница,24,,162,95,162,67,67,0,67,51,16
70050,Бабушница,25,,294,146,294,148,148,2,146,110,36
70050,Бабушница,26,,231,124,231,107,107,4,103,62,41
70050,Бабушница,27,,167,91,167,76,76,2,74,50,24
70050,Бабушница,28,,356,181,356,175,175,3,172,139,33
70050,Бабушница,29,,116,65,116,51,51,1,50,35,15
70050,Бабушница,30,,111,47,111,64,64,1,63,49,14
70050,Бабушница,31,,407,253,407,154,154,4,150,100,50
70050,Бабушница,32,,236,132,236,104,104,2,102,84,18
70050,Бабушница,33,,197,127,197,70,70,2,68,57,11
70050,Бабушница,34,,384,213,385,171,171,2,169,127,42
70050,Бабушница,35,,450,263,450,187,187,3,184,127,57
70050,Бабушница,36,,390,220,390,170,170,0,170,120,50
70050,Бабушница,37,,285,139,286,146,146,0,146,78,68
70050,Бабушница,38,,232,97,232,135,135,2,133,117,16
70050,Бабушница,39,,266,109,266,157,157,7,150,104,46
70050,Бабушница,40,,167,69,167,98,98,5,93,73,20
70050,Бабушница,41,,350,161,350,189,189,1,188,126,62
70050,Бабушница,42,,177,87,177,90,90,1,89,76,13
70050,Бабушница,43,,301,161,301,140,140,1,139,81,58
70050,Бабушница,44,,220,97,222,123,123,4,119,52,67
70050,Бабушница,45,,214,109,214,105,105,0,105,48,57
70050,Бабушница,46,,123,40,123,83,83,1,82,61,21
70050,Бабушница,47,,162,88,162,74,74,2,72,60,12
70050,Бабушница,48,,115,48,115,67,67,1,66,38,28
,Бабушница,,,13002,6895,13005,6107,6107,103,6004,3996,2008
70068,Бајина Башта,1,,779,357,779,422,422,9,413,194,219
70068,Бајина Башта,2,,759,405,759,354,354,6,348,172,176
70068,Бајина Башта,3,,895,413,895,482,482,6,476,237,239
70068,Бајина Башта,4,,785,407,785,378,378,5,373,187,186
70068,Бајина Башта,5,,1021,505,1021,516,516,13,503,179,324
70068,Бајина Башта,6,,631,292,631,339,338,9,329,114,215
70068,Бајина Башта,7,,1332,651,1333,681,681,8,673,262,411
70068,Бајина Башта,8,,988,516,988,472,472,2,470,262,208
70068,Бајина Башта,9,,366,196,366,170,170,3,167,71,96
70068,Бајина Башта,10,,107,40,107,67,67,2,65,20,45
70068,Бајина Башта,11,,139,80,139,59,59,2,57,32,25
70068,Бајина Башта,12,,475,193,475,282,282,4,278,177,101
70068,Бајина Башта,13,,521,308,521,213,213,4,209,124,85
70068,Бајина Башта,14,,541,335,541,206,206,4,202,113,89
70068,Бајина Башта,15,,305,112,305,193,193,1,192,111,81
70068,Бајина Башта,16,,173,72,173,101,101,0,101,66,35
70068,Бајина Башта,17,,161,108,161,53,53,0,53,33,20
70068,Бајина Башта,18,,384,271,384,113,113,6,107,53,54
70068,Бајина Башта,19,,156,68,156,88,88,0,88,66,22
70068,Бајина Башта,20,,253,141,253,112,112,4,108,63,45
70068,Бајина Башта,21,,100,50,100,50,50,2,48,37,11
70068,Бајина Башта,22,,368,215,368,153,153,5,148,73,75
70068,Бајина Башта,23,,381,265,381,116,116,0,116,75,41
70068,Бајина Башта,24,,325,209,325,116,116,4,112,65,47
70068,Бајина Башта,25,,320,171,320,149,149,2,147,89,58
70068,Бајина Башта,26,,130,77,130,53,53,1,52,27,25
70068,Бајина Башта,27,,370,268,370,102,102,3,99,79,20
70068,Бајина Башта,28,,172,111,172,61,61,0,61,24,37
70068,Бајина Башта,29,,123,78,123,45,45,2,43,22,21
70068,Бајина Башта,30,,392,230,392,162,162,4,158,109,49
70068,Бајина Башта,31,,137,97,137,40,40,0,40,30,10
70068,Бајина Башта,32,,845,434,847,411,411,1,410,211,199
70068,Бајина Башта,33,,944,521,944,423,423,6,417,245,172
70068,Бајина Башта,34,,344,199,344,145,145,4,141,68,73
70068,Бајина Башта,35,,597,317,597,280,280,0,280,122,158
70068,Бајина Башта,36,,444,293,444,151,151,1,150,86,64
70068,Бајина Башта,37,,313,158,313,155,155,5,150,84,66
70068,Бајина Башта,38,,187,105,187,82,82,2,80,38,42
70068,Бајина Башта,39,,578,284,578,294,294,4,290,151,139
70068,Бајина Башта,40,,341,217,341,124,124,0,124,78,46
70068,Бајина Башта,41,,147,95,147,52,52,0,52,44,8
70068,Бајина Башта,42,,384,259,384,125,125,4,121,64,57
70068,Бајина Башта,43,,147,72,147,75,75,1,74,32,42
70068,Бајина Башта,44,,244,159,244,85,85,3,82,52,30
70068,Бајина Башта,45,,528,362,528,166,166,3,163,84,79
70068,Бајина Башта,46,,338,187,337,151,151,1,150,78,72
70068,Бајина Башта,47,,592,378,592,214,214,4,210,112,98
70068,Бајина Башта,48,,169,119,170,50,50,1,49,39,10
70068,Бајина Башта,49,,285,205,281,80,80,0,80,47,33
70068,Бајина Башта,50,,297,143,297,154,154,4,150,77,73
70068,Бајина Башта,51,,162,110,162,52,52,2,50,31,19
70068,Бајина Башта,52,,170,84,170,86,86,0,86,56,30
70068,Бајина Башта,53,,566,333,562,233,233,3,230,123,107
,Бајина Башта,,,22211,12275,22206,9936,9935,160,9775,5088,4687
70076,Баточина,1,,121,56,121,65,65,0,65,23,42
70076,Баточина,2,,453,252,453,201,201,5,196,116,80
70076,Баточина,3,,191,68,191,123,123,1,122,60,62
70076,Баточина,4,,236,143,236,93,93,0,93,46,47
70076,Баточина,5,,237,157,237,80,80,0,80,25,55
70076,Баточина,6,,366,210,366,156,156,3,153,85,68
70076,Баточина,7,,217,115,217,102,102,0,102,48,54
70076,Баточина,8,,213,147,213,66,66,1,65,28,37
70076,Баточина,9,,260,156,260,104,104,2,102,40,62
70076,Баточина,10,,374,187,374,187,187,4,183,70,113
70076,Баточина,11,,290,152,290,138,138,1,137,51,86
70076,Баточина,12,,265,140,265,125,125,0,125,52,73
70076,Баточина,13,,210,96,210,114,114,2,112,50,62
70076,Баточина,14,,296,160,296,136,136,3,133,52,81
70076,Баточина,15,,279,144,279,135,135,2,133,64,69
70076,Баточина,16,,268,163,268,105,105,3,102,52,50
70076,Баточина,17,,296,165,296,131,131,0,131,87,44
70076,Баточина,18,,268,161,268,107,107,2,105,49,56
70076,Баточина,19,,242,134,242,108,108,1,107,23,84
70076,Баточина,20,,261,139,261,122,122,3,119,59,60
70076,Баточина,21,,363,209,363,154,154,3,151,79,72
70076,Баточина,22,,270,109,270,161,161,3,158,99,59
70076,Баточина,23,,338,170,338,168,168,3,165,109,56
70076,Баточина,24,,321,151,321,170,170,1,169,117,52
70076,Баточина,25,,361,164,361,197,197,2,195,125,70
70076,Баточина,26,,389,157,389,232,232,4,228,158,70
70076,Баточина,27,,342,182,342,160,160,2,158,108,50
70076,Баточина,28,,386,170,387,216,216,3,213,113,100
70076,Баточина,29,,333,126,333,207,207,8,199,72,127
70076,Баточина,30,,333,161,333,172,172,2,170,107,63
70076,Баточина,31,,411,210,411,201,201,0,201,139,62
70076,Баточина,32,,371,137,371,234,234,4,230,92,138
70076,Баточина,33,,346,149,346,197,197,4,193,93,100
70076,Баточина,34,,440,189,440,251,251,3,248,115,133
70076,Баточина,35,,431,185,431,246,246,4,242,97,145
,Баточина,,,10778,5414,10779,5364,5364,79,5285,2703,2582
70084,Бела Паланка,1,,293,147,293,146,146,8,138,73,65
70084,Бела Паланка,2,,521,292,521,229,229,3,226,108,118
70084,Бела Паланка,3,,405,125,405,280,280,6,274,148,126
70084,Бела Паланка,4,,372,173,372,199,199,8,191,100,91
70084,Бела Паланка,5,,297,91,297,206,206,6,200,108,92
70084,Бела Паланка,6,,436,190,436,246,246,7,239,122,117
70084,Бела Паланка,7,,512,275,512,237,237,4,233,141,92
70084,Бела Паланка,8,,293,127,293,166,166,3,163,71,92
70084,Бела Паланка,9,,404,165,404,239,239,3,236,123,113
70084,Бела Паланка,10,,376,172,377,204,204,5,199,106,93
70084,Бела Паланка,11,,627,317,627,310,310,5,305,201,104
70084,Бела Паланка,12,,461,256,461,205,205,3,202,128,74
70084,Бела Паланка,13,,469,239,470,230,230,5,225,143,82
70084,Бела Паланка,14,,510,240,510,270,270,4,266,151,115
70084,Бела Паланка,15,,312,149,312,163,163,3,160,105,55
70084,Бела Паланка,16,,379,189,379,190,190,5,185,134,51
70084,Бела Паланка,17,,111,77,111,34,34,0,34,23,11
70084,Бела Паланка,18,,244,164,244,80,80,1,79,47,32
70084,Бела Паланка,19,,224,84,225,140,140,3,137,100,37
70084,Бела Паланка,20,,151,47,151,104,104,1,103,67,36
70084,Бела Паланка,21,,271,139,271,132,132,3,129,88,41
70084,Бела Паланка,22,,202,108,202,94,94,1,93,46,47
